158,"['-123.3645', '48.4287']"
159,"['-81.3221', '28.7572']"
160,"['106.8319407', '-6.12831341']"
161,"['-0.00198492', '-0.00852319']"
162,"['-0.07863252', '51.50503489']"
163,"['-73.47935661', '45.6677507']"
164,"['101.7109', '3.1581']"
165,"['3.39583', '6.45306']"
166,"['-71.5', '41.7']"
167,"['75.73236465', '29.12965255']"
168,"['-0.13355317', '51.49594393']"
169,"['75.8167', '26.9167']"
170,"['-0.14367274', '51.55141874']"
171,"['151.2222147', '-33.85945782']"
172,"['3.31273779', '6.46354851']"
173,"['-0.2248', '51.5308']"
174,"['-92.03909', '30.22874']"
175,"['-118.1488', '34.1467']"
176,"['2.17393041', '41.38359494']"
177,"['0.81552029', '51.6301173']"
178,"['-0.13608912', '51.50413561']"
179,"['144.85776', '-37.73341']"
180,"['-118.50113056', '34.20113889']"
181,"['55.2741', '25.1994']"
182,"['-122.41478744', '37.74107121']"
183,"['133.68232727', '-32.12074612']"
184,"['8', '9']"
185,"['77.597645', '12.971117']"
186,"['-1.22701', '51.7473488']"
187,"['2.36556752', '48.82359481']"
188,"['-117.74975394', '34.057913']"
189,"['-73.56726563', '45.63697547']"
190,"['84.9151306', '26.6516991']"
191,"['77.5945627', '12.9715987']"
192,"['78.1667', '11.65']"
193,"['-123.04986139', '49.22826439']"
194,"['3.9167', '7.3964']"
195,"['-74.00784552', '40.65373341']"
196,"['-0.13608912', '51.50413561']"
197,"['-3.2994352', '57.6514268']"
198,"['-2.185', '52.257']"
199,"['-1.13333', '52.6333']"
200,"['-2.27736664', '53.43743662']"
201,"['114.27789131', '22.39471522']"
202,"['13.401251', '52.518391']"
203,"['11.1', '43.8833']"
204,"['135', '-25']"
205,"['78.5698', '25.4486']"
206,"['-52.32130856', '4.9401287']"
207,"['-1.5443356', '53.7763925']"
208,"['103.7123', '1.3513']"
209,"['-74.0064', '40.7142']"
210,"['11.1', '43.8833']"
211,"['-4.09719229', '50.40954316']"
212,"['-1.13333', '52.6333']"
213,"['-1.49328634', '51.99618921']"
214,"['28.04719473', '-26.30990865']"
215,"['174.7657', '-36.8473']"
216,"['-84.09863249', '34.03884441']"
217,"['3.9167', '7.3964']"
218,"['28.1869', '-25.7533']"
219,"['3.9167', '7.3964']"
220,"['3.9167', '7.3964']"
