,word,positive,negative
800,bill,12,3
801,stuff,14,4
802,evidence,15,3
803,ask,15,1
804,payton,14,4
805,fault,10,5
806,wish,11,7
807,plan,14,4
808,edited,11,4
809,internet,13,4
810,shut,9,4
811,april,10,3
812,id,9,6
813,you're,0,0
814,ebola,9,0
815,@nygovcuomo:,10,2
816,38%,10,2
817,milk,12,5
818,spreading,7,8
819,wanted,12,9
820,corona-virus,10,3
821,survey,6,5
822,goes,9,2
823,decided,8,5
824,solace,9,3
825,@briantylercohen:,9,3
826,realize,7,7
827,showing,11,1
828,system,12,6
829,reason,10,3
830,researchers,6,5
831,@tomfitton:,11,4
832,staying,10,3
833,niggas,14,3
834,writing,11,5
835,morning,15,3
836,languages,6,5
837,staysafestayhome,9,8
838,obligatory,7,5
839,compliments,7,5
840,fear,6,9
841,change,10,5
842,florida,4,4
843,between,8,4
844,bring,6,4
845,chin,14,6
846,x,8,3
847,difficult,6,8
848,pledge,6,3
849,died,7,2
850,(1300,6,5
851,words),6,5
852,rt:,6,5
853,translate,6,5
854,describe,14,5
855,disease,9,8
856,@jhaushofer:,6,5
857,expect,8,3
858,000,6,6
859,worried,9,2
860,pray,10,4
861,guess,12,5
862,happy,5,3
863,havent,9,6
864,poor,11,3
865,lmao,7,5
866,@_ashlee_4_:,9,6
867,parents,4,3
868,corona:,10,5
869,south,7,5
870,mind,13,4
871,janta,8,4
872,mentally,11,5
873,@rahulgandhi,12,4
874,buy,9,6
875,starting,10,4
876,moment,3,3
877,@michaelirvin88,13,4
878,true,10,4
879,symptom,12,1
880,@goldengateblond:,13,2
881,level,4,8
882,related,7,3
883,dog,14,3
884,@indiewashere:,13,3
885,&gt,4,1
886,partying,8,4
887,gen,13,4
888,hey,6,2
889,treatment,8,6
890,comes,13,3
891,playing,7,0
892,ridiculously,12,3
893,vaccine,13,2
894,whats,4,4
895,edits,5,5
896,inflated,12,3
897,crazy,10,5
898,threat,12,2
899,informed,7,5
900,prices:,12,3
901,remind,12,6
902,@whitehouse,6,5
903,fake,10,3
904,@,10,1
905,@evielawson:,12,3
906,washington,9,2
907,sky,7,5
908,worst,8,3
909,fox,10,1
910,30,10,4
911,problem,17,5
912,type,12,1
913,faster,8,3
914,season,7,2
915,protect,10,7
916,@michaeldapaah:,8,6
917,eating,6,7
918,co/6jhqmrcvjt,8,6
919,entirely,8,4
920,tomorrow,11,3
921,plies,8,6
922,able,10,5
923,19,8,3
924,given,7,5
925,weak,7,5
926,asian,12,8
927,update,13,2
928,heart,4,5
929,service,10,4
930,information,5,6
931,mask,12,3
932,found,11,3
933,lady,15,3
