,word,frequency
1157,whether,99.0
1158,healthy,99.0
1159,birthday,99.0
1160,co/eyidd6xbas,98.0
1161,normal,98.0
1162,seeing,98.0
1163,paid,98.0
1164,40%,98.0
1165,learn,98.0
1166,co/eixynh6xsa,98.0
1167,tha,98.0
1168,minister,97.0
1169,afford,97.0
1170,nigga,97.0
1171,future,97.0
1172,impeaching,97.0
1173,economy,97.0
1174,2020:,97.0
1175,rest,97.0
1176,9pm,97.0
1177,citizens,97.0
1178,rather,97.0
1179,spain,97.0
1180,million,97.0
1181,chat,96.0
1182,speechwriters,96.0
1183,22nd,96.0
1184,y'all,96.0
1185,strengthen,96.0
1186,appeal,96.0
1187,losing,96.0
1188,reported,96.0
1189,australia,96.0
1190,"november",96.0
1191,cooked,95.0
1192,total,95.0
1193,strike,95.0
1194,run,95.0
1195,large,95.0
1196,looked,95.0
1197,kits,95.0
1198,co/dsklcbu5nx,95.0
1199,9,95.0
1200,travel,95.0
1201,question,95.0
1202,donald,94.0
1203,feb,94.0
1204,numbers,94.0
1205,humanity,94.0
1206,student,94.0
1207,@ageniesayswhat:,94.0
1208,@fenwaystrat:,94.0
1209,creative,93.0
1210,nations,93.0
1211,@caucasianjames:,93.0
1212,co/0lxqtvz5ts,93.0
1213,hospitals,93.0
1214,research,93.0
1215,votes,93.0
1216,alone,93.0
1217,@nmwdesign:,93.0
1218,me:,92.0
1219,rights,92.0
1220,common,92.0
1221,sprout,92.0
1222,caused,92.0
1223,soil,92.0
1224,vigilan,92.0
1225,pretext,92.0
1226,drug,92.0
1227,strong,92.0
1228,powers,92.0
1229,15000,92.0
1230,washing,92.0
1231,co/mf8pwvi1bx,92.0
1232,handle,91.0
1233,killed,91.0
1234,officially,91.0
1235,351k,91.0
1236,centre,91.0
1237,tips,91.0
1238,potus,90.0
1239,ends,90.0
1240,wonder,90.0
1241,recent,90.0
1242,font,90.0
1243,cannot,90.0
1244,gon,90.0
1245,five,90.0
1246,harry,90.0
1247,rate,89.0
1248,@_hublette:,89.0
1249,@jmclaughlinsais:,89.0
1250,questions,89.0
1251,couple,89.0
1252,responsibility,89.0
1253,bless,89.0
1254,happen,89.0
1255,achieve,89.0
1256,worry,88.0
1257,living,88.0
1258,flight,88.0
1259,result,88.0
1260,li,88.0
1261,pubs,88.0
1262,happening,88.0
1263,whatsapp,88.0
1264,fellow,88.0
1265,stands,88.0
1266,higher,88.0
1267,tf,87.0
1268,water,87.0
1269,move,87.0
1270,battle,87.0
1271,released,87.0
1272,women,87.0
1273,viruses,87.0
1274,clear,87.0
1275,anxiety,87.0
1276,totally,87.0
1277,freaking,86.0
1278,+,86.0
1279,virus:,86.0
1280,@potus,86.0
1281,remarks,86.0
1282,sleep,86.0
1283,huge,86.0
1284,keeping,86.0
1285,@harari_yuval:,85.0
1286,coughing,85.0
1287,turkish,85.0
1288,agree,85.0
1289,course,85.0
1290,pretty,85.0
1291,past,85.0
1292,retweet,85.0
1293,request,85.0
1294,survive,85.0
1295,100,85.0
1296,"dictatorship",85.0
1297,paper,85.0
1298,recovery,85.0
1299,themselves,84.0
1300,data,84.0
1301,chance,84.0
1302,referred,84.0
1303,script,83.0
1304,anymore,83.0
1305,texas,83.0
1306,half,83.0
1307,kushner,83.0
1308,impeachment,83.0
1309,period,83.0
1310,experience,83.0
1311,besides,83.0
1312,styles,83.0
1313,story,83.0
1314,behavior,83.0
1315,amazon,82.0
1316,@baldboyblues:,82.0
1317,club,82.0
1318,voted,82.0
1319,co/qgnyfejxkk,82.0
1320,air,82.0
1321,police,82.0
1322,rubbish,82.0
1323,co/ujcgptfmpc,82.0
1324,tip,81.0
1325,unfortunately,81.0
1326,basketball,81.0
1327,calls,81.0
1328,coronavirusoutbreak,81.0
1329,across,81.0
1330,schools,81.0
1331,extensive,81.0
